symbol,sector,tier,valid_from,valid_to,evidence
LICI,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LODHA,Realty,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LT,Construction,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LTF,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LTI,Information Technology,2,2016-07-21,9999-12-31,inherit:LTI via LTM
LTIM,Information Technology,2,2022-12-05,9999-12-31,inherit:LTI via LTM
LTM,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LTTS,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
LUPIN,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
M&M,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
M&MFIN,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MANAPPURAM,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MANKIND,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MARICO,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MARUTI,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MAXHEALTH,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MAZDOCK,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MCDOWELL-N,Fast Moving Consumer Goods,2,2010-01-04,9999-12-31,inherit:MCDOWELL-N via UNITDSPR
MCLEODRUSS,Textiles,3,2016-02-11,9999-12-31,manual-register
MCX,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
METROPOLIS,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MFSL,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MGL,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MINDTREE,Information Technology,3,2016-02-11,9999-12-31,manual-register
MOTHERSON,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MOTHERSUMI,Automobile and Auto Components,2,2010-01-04,9999-12-31,inherit:MOTHERSON via MOTHERSON
MOTILALOFS,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MPHASIS,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MRF,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MRPL,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
MUTHOOTFIN,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NAM-INDIA,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NATIONALUM,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NAUKRI,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NAVINFLUOR,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NBCC,Construction,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NCC,Construction,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NESTLEIND,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NHPC,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NIITTECH,Information Technology,2,2010-01-04,9999-12-31,inherit:COFORGE via COFORGE
NMDC,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NTPC,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NUVAMA,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
NYKAA,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
OBEROIRLTY,Realty,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
OFSS,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
OIL,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ONGC,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
ORIENTBANK,Financial Services,3,2016-02-11,9999-12-31,manual-register
PAGEIND,Textiles,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PATANJALI,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
